GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Aftersale Module,cn.edu.xmu.aftersale.model.strategy.impl,ExchangeAcceptStrategy,2,109,2,4,0,34,2,5,0,4
Aftersale Module,cn.edu.xmu.aftersale.model.strategy.impl,RepairCancelStrategy,0,53,0,0,0,12,0,3,0,3
Aftersale Module,cn.edu.xmu.aftersale.model.strategy.impl,ExchangeConfirmStrategy,16,132,1,5,3,42,1,6,0,4
Aftersale Module,cn.edu.xmu.aftersale.model.strategy.impl,ExchangeCancelStrategy,0,64,0,2,0,18,0,4,0,3
Aftersale Module,cn.edu.xmu.aftersale.model.strategy.impl,ReturnCancelStrategy,0,64,0,2,0,18,0,4,0,3
Aftersale Module,cn.edu.xmu.aftersale.model.strategy.impl,ExchangeReceiveStrategy,1,92,1,1,0,31,1,4,0,4
Aftersale Module,cn.edu.xmu.aftersale.model.strategy.impl,ReturnConfirmStrategy,2,146,2,4,0,45,2,5,0,4
Aftersale Module,cn.edu.xmu.aftersale.model.strategy.impl,ReturnAcceptStrategy,2,109,2,4,0,34,2,5,0,4
Aftersale Module,cn.edu.xmu.aftersale.model.strategy.impl,RepairConfirmStrategy,2,97,2,4,0,22,2,4,0,3
Aftersale Module,cn.edu.xmu.aftersale.model.strategy.impl,ReturnReceiveStrategy,1,21,1,1,0,5,1,3,0,3
Aftersale Module,cn.edu.xmu.aftersale,AftersaleApplication,0,8,0,0,0,3,0,2,0,2
Aftersale Module,cn.edu.xmu.aftersale.controller,AftersaleController,0,216,0,2,0,34,0,6,0,5
Aftersale Module,cn.edu.xmu.aftersale.dao,AftersaleOrderRepository,12,63,3,5,3,17,3,5,0,4
Aftersale Module,cn.edu.xmu.aftersale.service,AftersaleService,28,234,0,0,0,45,4,9,4,9
Aftersale Module,cn.edu.xmu.aftersale.model,AftersaleOrder,10,258,5,24,5,84,5,30,0,15
Aftersale Module,cn.edu.xmu.aftersale.model,AftersaleType,6,53,1,3,1,7,1,3,0,2
Aftersale Module,cn.edu.xmu.aftersale.model,AftersaleStatus,42,69,11,3,5,9,8,3,2,2
