GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Service Module,cn.edu.xmu.service.dao,ServiceOrderRepository,12,63,2,4,4,16,2,6,1,4
Service Module,cn.edu.xmu.service.dao,ServiceProviderDraftRepository,5,92,1,3,1,23,1,7,0,6
Service Module,cn.edu.xmu.service.dao,ServiceProviderRepository,15,51,2,2,2,14,2,4,0,4
Service Module,cn.edu.xmu.service.model,DraftStatus,0,56,0,4,0,8,0,4,0,2
Service Module,cn.edu.xmu.service.model,ServiceProviderDraft,7,162,2,8,2,44,2,9,0,6
Service Module,cn.edu.xmu.service.model,ServiceProvider,2,91,2,8,1,31,2,6,0,3
Service Module,cn.edu.xmu.service.model,ServiceOrderStatus,4,124,6,14,0,15,5,9,0,4
Service Module,cn.edu.xmu.service.model,ServiceOrder,13,296,5,27,5,96,5,33,0,15
Service Module,cn.edu.xmu.service.model,ServiceOrderType,0,59,0,4,0,8,0,4,0,2
Service Module,cn.edu.xmu.service.model.strategy.impl,OnsiteAssignStrategy,0,28,0,0,0,7,0,4,0,4
Service Module,cn.edu.xmu.service.model.strategy.impl,OnsiteCompleteStrategy,0,37,1,3,0,9,1,5,0,4
Service Module,cn.edu.xmu.service.model.strategy.impl,MailInCancelStrategy,4,188,1,7,0,56,1,8,0,5
Service Module,cn.edu.xmu.service.model.strategy.impl,OnsiteCancelStrategy,0,37,0,2,0,10,0,5,0,4
Service Module,cn.edu.xmu.service.model.strategy.impl,MailInAssignStrategy,0,144,0,0,0,43,0,4,0,4
Service Module,cn.edu.xmu.service.model.strategy.impl,MailInCompleteStrategy,0,37,0,4,0,9,0,6,0,4
Service Module,cn.edu.xmu.service,ServiceApplication,5,3,0,0,2,1,1,1,1,1
Service Module,cn.edu.xmu.service.controller,ServiceProviderController,0,111,2,8,0,14,2,7,0,4
Service Module,cn.edu.xmu.service.controller,ServiceProviderOrderController,0,109,0,0,0,18,0,6,0,6
Service Module,cn.edu.xmu.service.controller,ServiceOrderInternalController,3,113,5,9,0,19,5,5,0,3
Service Module,cn.edu.xmu.service.service,ServiceOrderService,14,454,3,19,0,92,5,22,2,14
Service Module,cn.edu.xmu.service.service,ServiceProviderService,17,299,16,26,2,67,16,12,0,7
